MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
538009972,2024-09-14T01:38:44,28.55,-90.0504,12.5,58.8,55.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T01:40:44,28.5542,-90.0441,12.3,9.8,9.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T01:42:44,28.5579,-90.0393,12.1,50.4,51.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T01:44:44,28.5628,-90.034,12.8,91.1,90.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T01:46:44,28.5665,-90.0281,11.8,63.0,66.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T01:48:44,28.5703,-90.0227,12.3,45.3,46.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T01:50:44,28.575,-90.0164,12.2,352.4,349.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T01:52:44,28.579,-90.0108,11.8,33.0,33.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T01:54:44,28.5833,-90.0056,12.2,340.2,339.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T01:56:44,28.5872,-90.0,11.6,32.7,32.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T01:58:44,28.5913,-89.9948,11.6,30.1,33.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:00:44,28.5952,-89.9889,12.2,25.4,24.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:02:44,28.5999,-89.9828,12.1,14.5,17.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:04:44,28.6048,-89.9776,12.2,96.7,95.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:06:44,28.6089,-89.9716,12.4,35.5,34.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:08:44,28.6132,-89.966,12.1,147.1,145.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:10:44,28.6175,-89.9601,12.0,181.8,181.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:12:44,28.6211,-89.9548,12.5,24.6,24.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:14:44,28.6258,-89.9497,12.2,82.1,82.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:16:44,28.6301,-89.944,12.7,80.1,81.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:18:44,28.6338,-89.9382,12.0,55.1,55.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:20:44,28.6379,-89.9319,12.0,18.3,16.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:22:44,28.6427,-89.9268,11.8,128.4,129.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:24:44,28.6468,-89.9209,12.3,45.4,43.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:26:44,28.6509,-89.915,12.2,25.3,30.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:28:44,28.6549,-89.9093,12.3,34.1,32.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:30:44,28.6598,-89.9039,11.7,52.4,53.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:32:44,28.6638,-89.8983,12.5,15.5,17.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:34:44,28.6678,-89.8928,12.7,53.4,52.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:36:44,28.6722,-89.8866,12.5,6.1,7.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:38:44,28.6764,-89.8816,11.7,75.0,77.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:40:44,28.6807,-89.8759,12.3,57.6,58.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:42:44,28.6845,-89.87,11.7,353.2,354.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:44:44,28.6888,-89.8645,12.2,277.2,274.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:46:44,28.693,-89.8595,12.3,34.5,38.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:48:44,28.6967,-89.8535,11.6,339.2,339.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:50:44,28.701,-89.8483,12.1,85.1,84.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:52:44,28.7042,-89.8419,12.1,114.9,112.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:54:44,28.7066,-89.8353,12.4,43.4,45.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:56:44,28.7087,-89.8284,12.3,20.8,22.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T02:58:44,28.7117,-89.8223,11.9,21.3,24.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T03:00:44,28.7147,-89.8155,12.0,101.4,102.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T03:02:44,28.7179,-89.8093,12.0,105.2,105.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T03:04:44,28.7203,-89.8028,11.9,70.3,71.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T03:06:44,28.7231,-89.7963,12.8,36.6,38.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T03:08:44,28.7269,-89.7899,11.7,131.8,132.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T03:10:44,28.7292,-89.7827,12.5,322.3,326.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T03:12:44,28.7323,-89.7759,12.5,61.4,60.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T03:14:44,28.7346,-89.7695,12.3,27.8,30.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T03:16:44,28.7376,-89.763,12.0,25.3,26.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T03:18:44,28.7406,-89.7566,11.6,82.5,77.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T03:20:44,28.7434,-89.7502,12.1,47.7,47.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T03:22:44,28.7463,-89.7427,12.2,27.5,31.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T03:24:44,28.7494,-89.7366,12.7,56.8,58.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T03:26:44,28.7531,-89.73,12.8,142.4,144.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T03:28:44,28.7549,-89.7226,12.4,317.2,317.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T03:30:44,28.7585,-89.7168,12.5,72.3,71.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T03:32:44,28.7604,-89.7094,12.1,349.4,349.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T03:34:44,28.7639,-89.7035,12.7,81.7,83.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T03:36:44,28.7669,-89.6962,11.7,259.2,258.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T03:38:44,28.7694,-89.69,11.8,41.4,39.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T03:40:44,28.7721,-89.6833,11.1,346.6,346.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T03:42:44,28.7746,-89.6764,12.5,21.9,20.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T03:44:44,28.7787,-89.6703,12.1,217.0,221.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
538009972,2024-09-14T03:46:44,28.7811,-89.6637,12.6,114.1,119.0,PACIFIC TRADER,0000000,,80,0,183,32,12.0,0,A
